rowid,school_raw,school_clean,program_raw,degree,season_code,season_year,decision,decision_class,date_posted,gpa,gre_v,gre_q,gre_w,applicant_status,source
1c198115d084,Stockholm University,Stockholm University,Political Science,PhD,F26,2026,Rejected on May 19,Rejected,2026-05-19,,,,,International,gradcafe_scrape
78d5f06b9e42,Department of political science University of Toronto,Department of political science University of Toronto,Political Science,PhD,F26,2026,Accepted on May 01,Accepted,2026-05-01,3.5,,,,Other,gradcafe_scrape
a1db5c55d560,University of Vienna,University of Vienna,Political Science,PhD,F26,2026,Rejected on Apr 24,Rejected,2026-04-24,,,,,International,gradcafe_scrape
ee15d52a213f,Kings College London,Kings College London,Political Science,PhD,F26,2026,Accepted on Apr 24,Accepted,2026-04-24,,169,,5.5,International,gradcafe_scrape
3f3fad25716c,University of Houston,University of Houston,Political Science,PhD,F26,2026,Rejected on Apr 22,Rejected,2026-04-23,3.73,,,,International,gradcafe_scrape
c5a9f32981e3,University of South Carolina,University of South Carolina,Political Science,PhD,F26,2026,Rejected on Apr 23,Rejected,2026-04-23,4.0,159,,3.5,International,gradcafe_scrape
8d6a6caa0083,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,Political Science,PhD,F26,2026,Rejected on Apr 21,Rejected,2026-04-21,,,,,International,gradcafe_scrape
22b31de20e19,Massachusetts Institute of Technology (MIT),MIT,Political Science,PhD,F26,2026,Accepted on Apr 15,Accepted,2026-04-16,,163,,,International,gradcafe_scrape
d911d5d855c3,Georgetown University,Georgetown University,Political Science,PhD,F26,2026,Rejected on Apr 16,Rejected,2026-04-16,,,,,International,gradcafe_scrape
7c40a7bd1053,University of Minnesota,University of Minnesota,Political Science,PhD,F26,2026,Wait listed on Apr 15,Waitlisted,2026-04-15,,,,,International,gradcafe_scrape
734e48acca14,Yale University,Yale University,Political Science,PhD,F26,2026,Wait listed on Feb 19,Waitlisted,2026-04-15,,,,,American,gradcafe_scrape
3d065e6ebd98,"University of Notre Dame, Ohio State University, University of Illinois Urbana-Champaign",Ohio State University,Political Science,PhD,F26,2026,Accepted on Apr 14,Accepted,2026-04-14,,,,,International,gradcafe_scrape
243ef0946c0f,NYU,New York University,Political Science,PhD,F26,2026,Rejected on Apr 14,Rejected,2026-04-14,,,,,International,gradcafe_scrape
dce4d3645792,Harvard University,Harvard University,Political Science,PhD,F26,2026,Wait listed on Apr 14,Waitlisted,2026-04-14,,,,,International,gradcafe_scrape
f57efc05351b,New York University,New York University,Political Science,PhD,F26,2026,Wait listed on Apr 13,Waitlisted,2026-04-13,,,,,International,gradcafe_scrape
02d4c570361f,"University of California, Berkeley",UC Berkeley,Political Science,PhD,F26,2026,Wait listed on Feb 02,Waitlisted,2026-04-13,,,,,American,gradcafe_scrape
9dbf859fdb04,Massachusetts Institute of Technology (MIT),MIT,Political Science,PhD,F26,2026,Wait listed on Feb 06,Waitlisted,2026-04-12,,,,,International,gradcafe_scrape
d77d4d9729e6,"University of California, Riverside","University of California, Riverside",Political Science,PhD,F26,2026,Rejected on Apr 08,Rejected,2026-04-09,3.5,,,,American,gradcafe_scrape
4819adcf962a,Central European University,Central European University,Political Science,PhD,F26,2026,Rejected on Apr 07,Rejected,2026-04-08,,,,,International,gradcafe_scrape
479324eb0f48,Uppsala University,Uppsala University,Political Science,PhD,F26,2026,Rejected on Apr 07,Rejected,2026-04-07,,,,,International,gradcafe_scrape
8a5a5f700dec,University of Houston,University of Houston,Political Science,PhD,F26,2026,Wait listed on Mar 12,Waitlisted,2026-04-07,,,,,International,gradcafe_scrape
1bf103909b73,Carleton University,Carleton University,Political Science,PhD,F26,2026,Rejected on Apr 06,Rejected,2026-04-06,3.9,,,,International,gradcafe_scrape
126b878066a7,Colorado State University,Colorado State University,Political Science,PhD,F26,2026,Accepted on Mar 20,Accepted,2026-04-03,,,,,International,gradcafe_scrape
a059acd3adb2,"University of California, Merced","University of California, Merced",Political Science,PhD,F25,2025,Rejected on Mar 30,Rejected,2026-03-31,3.98,,,,American,gradcafe_scrape
3cd36bc9870f,Binghamton University,SUNY Binghamton,Political Science,PhD,F26,2026,Rejected on Mar 31,Rejected,2026-03-31,3.5,,,,American,gradcafe_scrape
